# X(m) Y(m) Z(m)
0.142 0.185 0.168
0.142 0.184 0.168
0.142 0.184 0.168
0.142 0.184 0.168
0.142 0.184 0.167
0.142 0.184 0.167
0.142 0.184 0.167
0.142 0.184 0.167
0.142 0.184 0.167
0.142 0.183 0.167
0.142 0.183 0.167
0.141 0.183 0.167
0.141 0.183 0.167
0.141 0.183 0.167
0.141 0.183 0.166
0.141 0.183 0.166
0.141 0.183 0.166
0.141 0.183 0.166
0.141 0.183 0.166
0.141 0.183 0.166
0.141 0.183 0.166
0.141 0.182 0.166
0.141 0.182 0.166
0.141 0.182 0.166
0.141 0.182 0.166
0.140 0.182 0.166
0.140 0.182 0.165
0.140 0.182 0.165
0.140 0.182 0.165
0.140 0.181 0.165
0.140 0.181 0.165
0.140 0.181 0.165
0.140 0.181 0.165
0.140 0.181 0.165
0.140 0.181 0.165
0.140 0.181 0.165
0.140 0.181 0.165
0.140 0.181 0.165
0.140 0.181 0.165
0.154 0.076 0.084
0.154 0.076 0.084
0.154 0.076 0.084
0.154 0.076 0.084
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.153 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.076 0.083
0.152 0.075 0.083
0.152 0.075 0.083
0.152 0.075 0.083
0.152 0.075 0.083
0.152 0.075 0.083
0.152 0.075 0.083
0.152 0.075 0.083
0.152 0.075 0.083
0.152 0.075 0.083
0.152 0.075 0.082
0.152 0.075 0.082
0.152 0.075 0.082
0.152 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.151 0.075 0.082
0.150 0.075 0.082
0.150 0.075 0.082
0.150 0.075 0.082
0.150 0.075 0.082
0.150 0.075 0.082
0.150 0.075 0.082
0.150 0.075 0.082
0.150 0.075 0.082
0.150 0.075 0.082
0.150 0.075 0.082
0.150 0.075 0.082
0.150 0.075 0.082
0.150 0.075 0.082
0.150 0.074 0.082
0.150 0.074 0.082
0.150 0.074 0.082
0.150 0.074 0.081
0.150 0.074 0.081
0.150 0.074 0.081
0.150 0.074 0.081
0.150 0.074 0.081
0.150 0.074 0.081
0.150 0.074 0.081
0.149 0.074 0.081
0.149 0.074 0.081
0.149 0.074 0.081
0.149 0.074 0.081
0.149 0.074 0.081
0.149 0.074 0.081
0.149 0.074 0.081
0.149 0.074 0.081
0.149 0.074 0.081
0.149 0.074 0.081
0.149 0.074 0.081
0.149 0.074 0.081
0.155 0.226 0.197
0.155 0.226 0.197
0.155 0.225 0.196
0.155 0.225 0.196
0.155 0.225 0.196
0.155 0.225 0.196
0.155 0.225 0.196
0.155 0.225 0.196
0.154 0.224 0.195
0.154 0.224 0.195
0.154 0.224 0.195
0.154 0.224 0.195
0.154 0.223 0.195
0.154 0.223 0.195
0.154 0.223 0.194
0.153 0.223 0.194
0.153 0.223 0.194
0.153 0.222 0.194
0.153 0.222 0.194
0.153 0.222 0.194
0.153 0.222 0.194
0.153 0.222 0.194
0.153 0.222 0.193
0.153 0.222 0.193
0.153 0.222 0.193
0.152 0.222 0.193
0.152 0.221 0.193
0.152 0.221 0.193
0.152 0.221 0.193
0.152 0.221 0.192
0.152 0.221 0.192
0.152 0.220 0.192
0.152 0.220 0.192
0.151 0.220 0.192
0.151 0.220 0.192
0.151 0.220 0.191
0.151 0.219 0.191
0.151 0.219 0.191
0.151 0.219 0.191
0.150 0.219 0.190
0.150 0.219 0.190
0.150 0.219 0.190
0.150 0.218 0.190
0.150 0.218 0.190
0.150 0.218 0.190
0.150 0.218 0.190
0.150 0.218 0.190
